 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Ano do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2010-2020
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"352800 MACATUBA";43;36;44;33;34;50;47;42;30;36;59;454
"352810 MACAUBAL";21;28;29;19;18;21;20;15;18;21;13;223
"352820 MACEDONIA";3;4;3;4;5;6;8;1;5;10;9;58
"352830 MAGDA";2;3;5;1;13;4;3;5;5;5;2;48
"352840 MAIRINQUE";61;76;81;81;117;95;108;127;127;97;125;1095
"352850 MAIRIPORA";272;248;304;281;271;313;332;322;270;280;342;3235
"352860 MANDURI";8;14;8;8;14;10;7;9;7;15;12;112
"352870 MARABA PAULISTA";3;6;4;7;5;2;5;-;2;1;4;39
"352880 MARACAI";54;70;40;49;52;53;54;64;53;55;65;609
"352885 MARAPOAMA";2;2;3;3;6;4;3;3;2;3;9;40
"352890 MARIAPOLIS";2;2;2;1;1;7;3;3;1;-;6;28
"352900 MARILIA";1304;1348;1542;1559;1577;1603;1639;1618;1555;1693;1788;17226
"352910 MARINOPOLIS";1;2;2;-;2;5;2;1;-;5;6;26
"352920 MARTINOPOLIS";81;91;74;72;81;91;101;91;97;80;97;956
"352930 MATAO";340;305;389;364;371;420;430;415;408;485;511;4438
"352940 MAUA";1352;1365;1339;1398;1394;1325;1454;1525;1437;1472;1777;15838
"352950 MENDONCA";12;14;10;17;6;12;17;14;14;15;16;147
"352960 MERIDIANO";12;4;7;2;4;4;5;6;2;5;3;54
"352965 MESOPOLIS";2;3;1;1;3;1;4;3;-;3;2;23
"352970 MIGUELOPOLIS";59;38;51;37;52;52;45;60;57;66;57;574
"352980 MINEIROS DO TIETE";28;28;33;29;25;19;20;24;21;23;32;282
