ano,id_municipio_7digitos,pib
2011,3509809,88853123
2012,3509809,93455089
2013,3509809,106093960
2014,3509809,118483026
2015,3509809,103032224
2016,3509809,131942194
2017,3509809,126972763
2018,3509809,137664525
2019,3509809,154775357
2010,3509908,430181143
2011,3509908,841203426
2012,3509908,443179660
2013,3509908,450250906
2014,3509908,413041084
2015,3509908,294383396
2016,3509908,203871117
2017,3509908,259514196
2018,3509908,297559839
2019,3509908,307202884
2010,3509957,28773601
2011,3509957,68197608
2012,3509957,84172434
2013,3509957,100020371
2014,3509957,149868328
2015,3509957,153001165
2016,3509957,240866258
2017,3509957,129947875
2018,3509957,103585219
2019,3509957,107670040
2010,3510005,466157698
2011,3510005,521531302
2012,3510005,602029050
2013,3510005,689602400
2014,3510005,804013743
2015,3510005,905364471
2016,3510005,940592903
2017,3510005,1006142731
2018,3510005,1166513715
2019,3510005,1270169864
2010,3510104,51284664
2011,3510104,51569444
2012,3510104,56918930
2013,3510104,63684156
2014,3510104,72492618
2015,3510104,78029116
2016,3510104,96837491
2017,3510104,115154112
2018,3510104,97273720
2019,3510104,105968556
2010,3510153,107004034
2011,3510153,117280069
2012,3510153,97785493
2013,3510153,105077497
2014,3510153,113113279
2015,3510153,90615893
2016,3510153,168754839
2017,3510153,171870050
2018,3510153,187576959
2019,3510153,141977296
2010,3510203,505845700
2011,3510203,546200023
2012,3510203,532182722
2013,3510203,618082823
2014,3510203,731829513
2015,3510203,752596254
2016,3510203,811127198
2017,3510203,839491809
2018,3510203,906664563
2019,3510203,944821978
2010,3510302,146815852
2011,3510302,169125294
2012,3510302,174376100
2013,3510302,234803559
2014,3510302,259208718
2015,3510302,267306415
2016,3510302,290172730
2017,3510302,282828545
2018,3510302,272232342
2019,3510302,310889358
2010,3510401,1107156802
2011,3510401,1318009406
2012,3510401,1444353585
2013,3510401,1545321480
2014,3510401,1627471429
2015,3510401,1479500253
2016,3510401,1717798603
2017,3510401,1917534037
2018,3510401,2022231532
2019,3510401,2148541172
2010,3510500,1609177485
2011,3510500,1830143275
2012,3510500,2199999049
2013,3510500,2504935215
2014,3510500,2790460269
2015,3510500,2728112996
2016,3510500,2637451030
2017,3510500,2930538514
2018,3510500,3325054585
2019,3510500,4034042047
2010,3510609,3000084756
2011,3510609,3420202222
2012,3510609,3772659496
2013,3510609,4401711955
2014,3510609,4789524351
2015,3510609,5067266438
2016,3510609,5223499549
2017,3510609,5516904590
2018,3510609,5741687293
2019,3510609,6156670517
2010,3510708,118512598
2011,3510708,125942306
2012,3510708,167427568
2013,3510708,151615608
2014,3510708,178731555
2015,3510708,190334058
2016,3510708,211098062
2017,3510708,259517180
2018,3510708,255476313
2019,3510708,256870348
2010,3510807,430282877
