 Mortalidade - São Paulo
Óbitos p/Ocorrênc por Município e Mês do Óbito
Capítulo CID-10: I.   Algumas doenças infecciosas e parasitárias, III. Doenças sangue órgãos hemat e transt imunitár, IV.  Doenças endócrinas nutricionais e metabólicas, IX.  Doenças do aparelho circulatório, X.   Doenças do aparelho respiratório, XI.  Doenças do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Período:2012
"Município";"Janeiro";"Fevereiro";"Março";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"350230 ANHEMBI";1;1;2;1;-;1;1;1;1;-;3;2;14
"350240 ANHUMAS";-;-;-;-;-;-;-;1;-;-;-;-;1
"350250 APARECIDA";13;20;10;18;14;18;18;17;23;16;17;30;214
"350260 APARECIDA D'OESTE";1;1;2;1;1;2;-;-;5;2;2;4;21
"350270 APIAI";6;11;11;7;12;13;11;9;13;17;3;9;122
"350275 ARACARIGUAMA";2;3;5;2;1;4;4;3;3;6;4;6;43
"350280 ARACATUBA";82;85;84;69;84;90;106;93;79;109;82;91;1054
"350290 ARACOIABA DA SERRA";8;5;7;7;5;5;5;1;4;4;2;4;57
"350300 ARAMINA";1;-;-;-;-;1;1;1;1;1;1;-;7
"350310 ARANDU";1;1;1;-;-;1;-;1;2;-;1;1;9
"350315 ARAPEI";-;-;2;1;1;1;1;-;-;-;-;-;6
"350320 ARARAQUARA";97;92;99;95;120;105;136;95;85;94;105;114;1237
"350330 ARARAS";41;47;47;40;44;48;48;44;44;54;44;44;545
"350335 ARCO-IRIS";-;-;1;-;1;-;-;-;1;-;-;-;3
"350340 AREALVA";1;2;3;2;2;6;2;2;3;1;2;4;30
"350350 AREIAS";-;-;-;1;1;2;1;-;2;2;2;1;12
"350360 AREIOPOLIS";-;1;-;2;-;3;4;1;2;1;-;2;16
"350370 ARIRANHA";-;-;-;4;1;1;1;2;-;1;2;2;14
"350380 ARTUR NOGUEIRA";4;-;3;3;7;5;3;10;5;6;4;5;55
"350390 ARUJA";11;22;16;26;28;24;24;29;13;22;23;19;257
"350395 ASPASIA";-;-;-;-;-;1;-;-;-;-;-;-;1
"350400 ASSIS";30;43;39;40;47;45;72;46;48;39;45;39;533
"350410 ATIBAIA";52;53;61;40;50;60;70;58;56;51;59;52;662
"350420 AURIFLAMA";4;6;1;8;5;8;6;6;10;5;3;4;66
"350430 AVAI";-;1;2;-;-;-;2;-;1;-;-;-;6
